MonitorID,Location,Lat,Lon,year,pm25,PM2.5_inferred_basis,source_sheet,no2,miss_coords,duplicate check [isabella]
M21112,"Pasay Rotonda Station EDSA cor. Taft Avenue Malibay, Pasay City",14.53757,121.0023,2018,13.52956424,calculated from national average PM2.5 to TSP ratio,EMB Monitors,NA,FALSE,
M21111,Municipal Hall of Midsayap,7.189237,124.5326,2017,16,measured,EMB Monitors,NA,FALSE,
M21109,"Cabadbaran City Hall, Cabadbaran City",9.12149,125.5465,2018,21.88768219,calculated from national average PM2.5 to PM10 ratio,EMB Monitors,NA,FALSE,
M21107,"Caraga State University, Ampayon, Butuan City",8.953378,125.5983,2018,15,measured,EMB Monitors,NA,FALSE,
I21107,"CSU, Butuan City",8.958457,125.5958,2017,10.05692056,measured,EMB 2012-18,14.61668,FALSE,
M21106,"Butuan City Local Government Unit (Compound of City Environment Office), Barangay Doongan, Butuan City, Agusan Del Norte",8.95531,125.5274,2018,20.42850338,calculated from national average PM2.5 to PM10 ratio,EMB Monitors,NA,FALSE,"2 different values - 'Butuan City Local Government Unit (Compound of City Environment Office), Barangay Doongan, Butuan City, Agusan Del Norte' and 'City Environment Office'"
M21106,"City Environment Office, Barangay Doongan, Butuan City, Agusan Del Norte",8.95531,125.5274,2018,16.36426768,measured,EMB 2012-18,NA,FALSE,
M21105,"Infront of Municipal Hall Tupi, South Cotabato",6.33126,124.951,2018,22,measured,EMB Monitors,NA,FALSE,
M21104,"City of Koronadal, General Santos Drive, Koronadal City",6.49101,124.8558,2018,30.64275507,calculated from national average PM2.5 to PM10 ratio,EMB Monitors,NA,FALSE,
M21103,"Pedro Acharon Sports Complex, Brgy. Calumpang, General Santos City",6.108535,125.1847,2017,13.86219872,calculated from national average PM2.5 to PM10 ratio,EMB Monitors,NA,FALSE,
M21102,"Agton St. Open Park, infront of Toril District Hall, Agton St., Davao City",7.01851,125.4971,2018,21,measured,EMB Monitors,NA,FALSE,
M21101,"DMPI main gate, Davao Memorial Park Phase2, McArthur Highway, Matina, Davao City",7.06323,125.5854,2018,22.6172716,calculated from national average PM2.5 to PM10 ratio,EMB Monitors,NA,FALSE,
M21100,"Brgy. 12-B, Mapa St. Corner J.P Laurel Ave., Davao City (Fronting Brgy. Hall)",7.080413,125.6127,2018,30.64275507,calculated from national average PM2.5 to PM10 ratio,EMB Monitors,NA,FALSE,
